airline_sentiment_Index,features,rawPrediction,probability,prediction
2,"{""vectorType"":""sparse"",""length"":1000,""indices"":[29,273,297,314,365,639,652,699,803,903],""values"":[1,1,1,1,1,1,1,1,1,1]}","{""vectorType"":""dense"",""length"":3,""values"":[0.8030591028668849,0.1315748629981939,-0.9346339658650757]}","{""vectorType"":""dense"",""length"":3,""values"":[0.5928120035021729,0.30289708148102973,0.10429091501679746]}",0
1,"{""vectorType"":""sparse"",""length"":1000,""indices"":[86,105,211,330,341,433,510,593,615,654,700,807,891],""values"":[1,1,1,1,1,1,1,1,1,1,1,1,1]}","{""vectorType"":""dense"",""length"":3,""values"":[1.003302326557072,0.16790705034643377,-1.171209376903502]}","{""vectorType"":""dense"",""length"":3,""values"":[0.6462592402641864,0.28028458101464193,0.07345617872117162]}",0
0,"{""vectorType"":""sparse"",""length"":1000,""indices"":[23,63,206,330,383,389,602,640,661,726,861,892,986,999],""values"":[1,1,1,1,1,1,1,1,1,1,1,1,1,1]}","{""vectorType"":""dense"",""length"":3,""values"":[2.1587688230297926,-0.579926184579667,-1.5788426384501208]}","{""vectorType"":""dense"",""length"":3,""values"":[0.9187245087589108,0.05939982599362992,0.02187566524745923]}",0
0,"{""vectorType"":""sparse"",""length"":1000,""indices"":[29,62,221,286,288,330,389,603,635,661,666,712,999],""values"":[1,1,1,1,1,1,1,1,1,1,1,1,1]}","{""vectorType"":""dense"",""length"":3,""values"":[2.7325738262375685,-1.9633381296510855,-0.7692356965864793]}","{""vectorType"":""dense"",""length"":3,""values"":[0.9622089314265163,0.008787406839761532,0.029003661733722142]}",0
0,"{""vectorType"":""sparse"",""length"":1000,""indices"":[39,61,159,189,203,305,330,369,533,536,752,873,939,989],""values"":[1,1,1,1,1,1,2,1,1,1,1,1,1,1]}","{""vectorType"":""dense"",""length"":3,""values"":[1.1151333193784578,0.2748535377207366,-1.3899868570991898]}","{""vectorType"":""dense"",""length"":3,""values"":[0.6608269220945954,0.2852061298259986,0.053966948079406094]}",0
1,"{""vectorType"":""sparse"",""length"":1000,""indices"":[66,159,297],""values"":[1,1,1]}","{""vectorType"":""dense"",""length"":3,""values"":[0.0020511466614993937,0.12525384969008832,-0.1273049963515866]}","{""vectorType"":""dense"",""length"":3,""values"":[0.33225078731425406,0.37581341001733615,0.2919358026684098]}",1
0,"{""vectorType"":""sparse"",""length"":1000,""indices"":[25,434,519,626,726,736],""values"":[1,1,1,1,1,1]}","{""vectorType"":""dense"",""length"":3,""values"":[0.2503813991690258,1.0600969778942617,-1.3104783770632855]}","{""vectorType"":""dense"",""length"":3,""values"":[0.28924939231994634,0.6500211130093658,0.06072949467068792]}",1
0,"{""vectorType"":""sparse"",""length"":1000,""indices"":[20,540,560,979],""values"":[1,1,1,1]}","{""vectorType"":""dense"",""length"":3,""values"":[0.9440893063720275,0.179760633493176,-1.1238499398652022]}","{""vectorType"":""dense"",""length"":3,""values"":[0.6281042029324245,0.29247447796986964,0.07942131909770592]}",0
0,"{""vectorType"":""sparse"",""length"":1000,""indices"":[39,57,61,423,429,430,482,487,736],""values"":[1,1,1,1,1,1,1,1,1]}","{""vectorType"":""dense"",""length"":3,""values"":[1.8923140122232587,-1.0417445433655719,-0.8505694688576839]}","{""vectorType"":""dense"",""length"":3,""values"":[0.8948023871831459,0.04758627321743324,0.05761133959942092]}",0
0,"{""vectorType"":""sparse"",""length"":1000,""indices"":[16,37,330,345,354,691,736,826],""values"":[1,1,1,1,1,1,1,1]}","{""vectorType"":""dense"",""length"":3,""values"":[1.18605171869723,-0.4137889823698196,-0.7722627363274073]}","{""vectorType"":""dense"",""length"":3,""values"":[0.744587929063814,0.1503536594887601,0.1050584114474258]}",0
